code,name
101040100,重庆
101040200,永川
101040300,合川
101040400,南川
101040500,江津
101200701,咸宁
101230806,建宁
101250907,新宁
101260303,镇宁
101271614,冕宁
101130801,阿克苏
101130105001,阿克苏乡
101130603001,阿克苏普乡
101130801001,阿依库勒镇
101130801002,拜什吐格曼乡
101130801003,兵团二团
101130801004,兵团农一师沙井子水利管理处
101130801005,兵团一团
101020700,金山
101070301,鞍山
101071303,盘山
101090705,盐山
101120707,汶上
101130504,鄯善
101190404,昆山
101220501,马鞍山
101220604,潜山
101220503,含山
101240311,铅山
101251408,蓝山
101260604,万山
101281304,连山
101040700,渝北
101040800,北碚
101040900,巴南
101041000,长寿
101041100,黔江
101041300,万州
101041400,涪陵
101041600,城口
101041700,云阳
101041800,巫溪
101041900,奉节
101042000,巫山
101042100,潼南
101042200,垫江
101290105,晋宁
101290112,安宁
101300101,南宁
101310215,万宁
101160108,安宁
101191105,天宁
401112100,本宁堡
601886100,卡塔宁
113247100,甘宁
10101010002A,北京市景点规划展览馆
10102010005A,上海城市景点规划展示馆
101130801006,纺织工业城
101130801007,红旗坡农场
101130801008,红桥街道
101130801009,经济技术开发区
101130801010,喀勒塔勒镇
101130801011,柯柯牙街道
101130801012,库木巴希乡
101130801013,栏杆街道
101130801014,良种场
101130801015,南城街道
101130801017,特色产业园区
101130801018,托普鲁克乡
101290601,文山
101290605,砚山
101050812,金山屯
101051206,南山
101051306,尖山
101070308,千山
101060601,白城
101070304,海城
101130804,拜城
101121602,莱城
101301304,海城
101031100032,中新天津生态城
101050502006,海城乡
101060601002,保平街道（白城经济开发区）
101060601022,西郊街道（白城经济开发区）
101041700,云阳
101070101,沈阳
101101111,汾阳
101110200,咸阳
101110608,山阳
101110705,旬阳
101110903,千阳
101010800,延庆
101121707,临清
101220601,安庆
101230102,闽清
101050810,新青
101270508,顺庆
10101080008A,延庆硅化木国家地质公园
10112140501A,莲青山省景点级地质公园
10115040401A,国家地质公园
10124031201A,三清山
101010800001,八达岭镇
101010800002,百泉街道
101010800003,大榆树镇
101010800004,大庄科乡
101260301,安顺
101041000013,万顺镇
101060102018,万顺乡
101250408017,三顺街道
101271303008,金顺镇
101271705001,安顺彝族乡
101042300,梁平
10104010031A,重庆市景点规划展览馆
10115010101A,人民公园
10119110105A,天宁禅寺
10120070101A,咸宁市景点131(澄水洞旅游区
101060601025,幸福街道（白城经济开发区）
101070304001,八里镇
101070304002,岔沟镇
101070304003,东四街道
101070304004,感王镇
101070304005,高坨镇
101070304006,耿庄镇
101070304007,孤山镇
101070304008,海州街道
101070304009,接文镇
101070304010,马风镇
101121104,阳信
101180201,安阳
101180303,原阳
101180601,信阳
101180701,南阳
101181104,沁阳
101190302,丹阳
101201104,郧阳
101220302,繁昌
101010800005,井庄镇
101010800006,旧县镇
101010800007,康庄镇
101010800008,刘斌堡乡
101010800009,千家店镇
101010800010,儒林街道
101030100,天津
101030200,武清
101030300,宝坻
101030400,东丽
101030500,西青
101030600,北辰
101030700,宁河
101030900,静海
101031000,津南
101031100,滨海新区
101030800,和平
101031200,河东
101020100,上海
101020200,闵行
101020300,宝山
101020500,嘉定
101020600,浦东新区
101020700,金山
101020800,青浦
101020900,松江
101021000,奉贤
101021100,崇明
101021200,徐汇
101070206,长海
101010100,北京
101010200,海淀
101010300,朝阳
101010400,顺义
101260208,赤水
10121040402A,丹山赤水风景名胜区
10126020101A,赤水古城垣
101110502001,赤水镇
101130701003,兵团第一师水利水电工程处
101230505001,赤水镇
101230707001,赤水镇
101240402001,赤水镇
101260208001,白云乡
101260208002,宝源乡
101080601,赤峰
101250308,石峰
101042600022,智凤镇
101080601038,赤峰市资源型经济转型开发试验区
101080611001,赤峰市和美工贸园区
101210605013,始丰街道
101220606022,趾凤乡
101240703012,五指峰乡
101250301018,井龙街道
101250301019,龙头铺镇
101250301020,清水塘街道
101250301021,清水塘街道
101250301022,田心街道
101250301023,铜塘湾街道
101200702,赤壁
101260503,施秉
10101010002A,北京市景点规划展览馆
10102010005A,上海城市景点规划展示馆
10103010001A,海河历史建筑保护展览馆
10104010031A,重庆市景点规划展览馆
101090811,深州
101250501,郴州
101080102002,北什轴乡
101090811001,北溪村乡
101090811002,兵曹乡
101090811003,辰时镇
101090811004,大堤镇
101090811005,大冯营乡
101090811006,大屯镇
101090811007,东安庄乡
101090811008,河北省深州监狱
101230907,建阳
101251301,黔阳
101270401,绵阳
101271611,金阳
101031300,河西
101031500,南开
101031600,河北
101031700,红桥
101050409,前进
101031400,蓟州
10103010001A,海河历史建筑保护展览馆
10103010002A,华蕴博物馆
101020400,黄浦
101021300,长宁
101021400,静安
101021500,普陀
101021600,虹口
101021700,杨浦
10102010001A,和平公园
10102010002A,鲁迅公园
101010500,怀柔
101010600,通州
101010700,昌平
101010800,延庆
101010900,丰台
101011000,石景山
101011100,大兴
101011200,房山
101011300,密云
101011400,门头沟
101260208003,丙安乡
101260208004,大同镇
101260208005,复兴镇
101260208006,官渡镇
101260208007,葫市镇
101260208008,金华街道
101260208009,两河口乡
101260208010,石堡乡
101260208011,市中街道
101260208012,天台镇
101250301024,响石岭街道
101250301025,学林街道
101250301026,云田镇
101251004038,智峰乡
101281503004,赤凤镇
10109060401A,国际会展中心
10111020003A,汉阳陵考古陈列馆
10112060601A,绿博园会展中心
10120070202A,龙佑赤壁温泉度假区
10130060201A,石表山休闲旅游风景区
101090811009,护驾迟镇
101090811010,穆村乡
101090811011,前磨头镇
101090811012,乔屯乡
101090811013,深州市城市新区管理委员会
101090811014,深州市双井经济开发区
101090811015,深州镇
101090811016,太古庄乡
101090811017,唐奉镇
101110806,城固
101140109,城关
101160105,城关
10109040207A,城关门
101011200001,城关街道
101030200005,城关镇
101050407002,城关社区建设委员会
101070207004,城关街道
101070704002,城关街道
101071203003,城关街道
101071205006,城关街道
101071205009,大黑山特别行政管理区
101080105002,城关镇
101011500,平谷
101011600,东城
101011700,西城
10101010001A,北京明城墙遗址公园
10101010002A,北京市景点规划展览馆
10101010003A,明城墙遗址公园
101100717005,石壁乡
101131001038,伊宁市边境经济合作区管委会
101200501003,赤壁街道
101200702001,沧湖开发区
101200702002,茶庵岭镇
101200702003,车埠镇
101200702004,赤壁市经济开发区
101200702005,赤壁镇
101200702006,赤马港街道
101080406001,城关镇
101080406002,城关镇
101080801005,城关镇
101091010006,香城固镇
101100411001,北城管理委员会
101100411003,东城管理委员会
101100411013,西城管理委员会
101220501,马鞍山
101011200002,大安山乡
101080611004,马鞍山羊场
101220701035,宿州马鞍山现代产业园区
101271610022,马鞍山乡
101281903021,马鞍山农场
101290208002,马鞍山乡
101070205,旅顺
101070201017,北海街道
101070201018,大连奶牛场
101070201019,得胜街道
101070201020,登峰街道
101070201021,光荣街道
101070201022,龙头分园
101070201023,龙头街道
101070201024,龙王塘街道
101101100,吕梁
101190902010,吕良镇
101041800,巫溪
101070901,阜新
101090307,蔚县
101091010,邱县
101100302,盂县
101100507,武乡
101100708,蒲县
101100717,古县
101180901,洛阳
101220902,涡阳
10118090101A,八路军驻洛办事处纪念馆
10118090102A,洛阳博物馆
10118090103A,洛阳民俗博物馆
101181501,漯河
101081011002,绰河源镇
101081012013,哈多河镇
101121503012,洛河镇
101150303001,多禾茂乡
101161001010,郭河乡
101180103012,索河街道
101200102010,索河镇
101201601006,郭河镇
101210607007,箬横镇
101220106005,郭河镇
101250801,娄底
101290805,牟定
10101120009A,周口店遗址
101010500006,怀柔地区办事处
101010700006,东小口地区办事处
101010700010,马池口地区办事处
101070201025,旅顺经济开发区
101070201026,三涧堡街道
101070201027,市场街道
101070201028,双岛湾街道
101070201029,水师营街道
101110106,户县（现：鄠邑）
101110305,富县
101121503,莒县
101190201,无锡
101201102,竹溪
101220303,芜湖县
101230809,尤溪
101240905,芦溪
101250302,攸县
101250512,苏仙
101251506,泸溪
101270605,渠县
10118090104A,周王城天子驾六博物馆
10118090106A,洛阳白马寺
10118090201A,洛阳千唐志斋
10118090302A,洛阳龙马负图寺
10118090303A,洛阳王铎故居
101101015006,崞阳镇
101120201014,洛阳路街道
101160805013,锁阳城镇
101180902006,洛阳市洛新产业集聚区管理委员会
101220106011,罗河镇
101220401011,洛河镇
101220701028,沱河街道
101010700011,南口地区办事处
101011200005,窦店镇
101011200028,周口店地区办事处
101011500017,峪口地区办事处
101080608016,宇宙地镇
101090104003,楼底镇
101090220004,南娄底乡
101090501011,陡电街道
101110709005,牛头店镇
101051104,鸡东
101140309,乃东
101190507,启东
101220103,肥东
101250404,祁东
101250511,桂东
101271607,会东
101280304,惠东
101340204,台东
101130112,米东
101150207,海东
101180510,卫东
101070201030,铁山街道
101070201031,长城街道
101191104009,洛阳镇
101200206012,酂阳街道
101201301007,洛阳镇
101210613008,螺洋街道
101210702002,罗阳镇
101210901026,箬阳乡
101241103018,罗河镇
101270201014,摩梭河街道
101290405003,马过河镇
101290701007,洛河乡
101110707006,洛河镇
101120207003,河头店镇
101120801017,粥店街道
101180403009,山头店镇
101180603016,尤店乡
101180901041,寇店镇
10117010301A,水洞沟
10128030402A,惠东南山漂流
101050113005,利东镇
101050206008,太东乡
101050407020,太东林场
101050801121,伊东经营所
101051104001,八五一０农场
101051104002,东海镇
101290401,曲靖
101270304,自流井
10118010102A,黄河富景生态世界
10122090101A,古井酒文化博览园
101020200011,吴泾镇
101020700011,朱泾镇
101020800007,徐泾镇
101030400001,保税区空港国际物流经济区
101042400021,涂井乡
101050202009,九井镇
101050801039,丰沟经营所
101050801058,三股流经营所
101230501,泉州
101300508,全州
101170405,原州
101221408,宣州
101240511,袁州
101280904,端州
10112170201A,冠州梨园
10128010123A,广州动物园
101090504008,滦州镇
101110412004,宽州镇
101170401001,北塬街道
101050201,齐齐哈尔
101050201028,齐齐哈尔局直
101050201048,齐齐哈尔种畜场
101310211,琼海
10127161002A,青龙寺邛海泸山景区
101310211001,彬村山华侨农场
101310211002,博鳌镇
101310211003,大路镇
101310211004,国营东红农场
101310211005,国营东升农场
101310211006,国营东太农场
101310211007,会山镇
101310211008,嘉积镇
101091101,秦皇岛
10109110106A,新澳海底世界
101070403,清原
101071203,凌源
101090224,清苑
101120408,平原
101161302,靖远
101210807,庆元
101221104,定远
101251104,武陵源
101251406,宁远
101110205,泾阳
101120806,宁阳
101050801062,五道库经营所
101050801066,奋斗经营所
101050801073,柳树经营所
101050801095,永绪经营所
101051303021,双鸭山林业局上游经营所
101060201017,幸福经济管理区
101060601012,岭下镇（查干浩特旅游经济开发区）（省级）
101060605012,通榆经济开发区
101170401002,官厅镇
101170401004,黄铎堡镇
101170401005,开城镇
101170401006,南关街道
101170401008,三营镇
101170401009,炭山乡
101170401010,头营镇
101170401011,新区街道
101170401012,寨科乡
101310211009,龙江镇
101310211010,石壁镇
101310211011,塔洋镇
101310211012,潭门镇
101310211013,万泉镇
101310211014,阳江镇
101310211015,中原镇
101280407,平远
101281301,清远
101240615,青原
10112130101A,定远舰景区
10123050102A,清源山风景名胜区
10125110108A,武陵源风景名胜区
10128130102A,黄腾峡
101011100013,清源街道
101030100010,宁园街道
101040400022,庆元乡
101050105012,宁远镇
101160401,庆阳
101180103,荥阳
101210704,平阳
101221703,青阳
101270117,青羊
101272007,旌阳
10112170301A,阳谷景阳冈旅游区
101041400018,青羊镇
101050110005,庆阳农场
101050111007,庆阳镇
101050204008,平阳镇
101050210013,平洋镇
101050801157,青杨经营所
101051104008,平阳镇
101060504008,庆阳镇
101070207014,明阳街道
101071001024,庆阳街道
101090203006,平阳镇
101110501,渭南
101090223002,北南蔡乡
101160908022,渭南镇
101220202007,淝南乡
101271202010,椑南乡
101280409007,梅南镇
101300207011,那楠乡
101231001039G,赤背南岛
101120601,潍坊
10112060103A,潍坊世界风筝博物馆
10112060703A,潍坊安丘青云山民俗游乐园
101010500002,北房镇
101020600031,潍坊新村街道
101130501,吐鲁番
101130501002,兵团二二一团
101130501003,大河沿镇
101070202,瓦房店
101070202001,得利寺镇
101070202002,复州城镇
101070202003,岗店办事处
101070202004,共济办事处
101070202005,红沿河镇
101070202006,九龙办事处
101070202007,老虎屯镇
101010600,通州
101190509,通州
101251401,永州
101270114,崇州
101300203,龙州
101070406,东洲
101010600001,北苑街道
101010600002,漷县镇
101010600003,梨园地区办事处
101161106,东乡
101201402,钟祥
101210304,桐乡
101240411,东乡
101040400004,德隆乡
101040400020,骑龙乡
101041100011,金洞乡
101041100016,蓬东乡
101041500030,五通乡
101041600017,明中乡
101130501005,高昌街道
101130501006,红柳河园艺场
101130501007,老城街道
101130501008,葡萄沟街道
101130501010,七泉湖镇
101130501011,恰特喀勒乡
101130501013,胜金乡
101130501014,亚尔乡
101131001030,吐鲁番于孜乡
101070202008,李官镇
101070202009,岭东办事处
101070202010,泡崖乡
101010600004,潞城镇
101010600005,马驹桥镇
101010600006,宋庄镇
101010600007,台湖镇
101010600008,西集镇
101010600009,新华街道
101010600010,永乐店镇
101010600011,永顺地区办事处
101010600012,于家务回族乡
101010600013,玉桥街道
101010600014,张家湾镇
101150301,同仁
101240404,崇仁
101260601,铜仁
101290810,永仁
101051002016,同仁社区服务站
101051201003,工人村街道
101051202015,忠仁镇
101051202016,忠仁镇良种场
101070101101,工人村街道
101051301,双鸭山
101051301006,双鸭山林业局宝山经营所
101051301007,双鸭山林业局大叶沟林场
101051301008,双鸭山农场
101051302007,黑龙江省双鸭山监狱
101051303013,双鸭山林业局宝石经营所
101051303014,双鸭山林业局红旗林场
101051303015,双鸭山林业局南瓮泉经营所
101041800027,乌龙乡
101042200024,长龙乡
101043000014,青龙乡
101043100011,接龙乡
101043200029,双龙乡
101043200035,岩东乡
101043600024,涌洞乡
101050101101,通乡街道
101050102018,万隆乡
101070202011,三台满族乡
101070202012,松树镇
101070202013,太阳街道
101070202014,铁东办事处
101070202015,土城乡
101070202016,驼山乡
101070202017,瓦窝镇
101070202018,万家岭镇
101070202019,文兰办事处
101070501018,工人街道
101070901036,工人村街道
101071101022,工人街道
101090301013,工人新村街道
101140102004,龙仁乡
101150301001,保安镇
101051303016,双鸭山林业局七星河金矿
101051303017,双鸭山林业局七星河林场
101051303018,双鸭山林业局七一林场
101051303019,双鸭山林业局青龙林场
101051303020,双鸭山林业局三岔河林场
101051303021,双鸭山林业局上游经营所
101080408,察右前旗
101080804,乌前旗
